"local_authority_name","hour","count_date","cars_and_taxis","buses_and_coaches","lgvs"
"Lambeth","09:00:00","2018-03-23",50,0,5
"Croydon","10:00:00","2018-03-23",70,0,11
"Ealing","10:00:00","2018-03-23",46,0,6
"Hillingdon","10:00:00","2018-03-23",49,0,6
"Lambeth","10:00:00","2018-03-23",30,0,6
"Croydon","11:00:00","2018-03-23",77,0,22
"Ealing","11:00:00","2018-03-23",43,0,5
"Hillingdon","11:00:00","2018-03-23",63,0,14
"Lambeth","11:00:00","2018-03-23",33,0,14
"Croydon","12:00:00","2018-03-23",71,0,21
"Ealing","12:00:00","2018-03-23",53,0,8
"Hillingdon","12:00:00","2018-03-23",69,0,8
"Lambeth","12:00:00","2018-03-23",38,0,7
"Croydon","13:00:00","2018-03-23",82,0,18
"Ealing","13:00:00","2018-03-23",48,0,6
"Hillingdon","13:00:00","2018-03-23",68,0,12
"Lambeth","13:00:00","2018-03-23",36,0,2
"Croydon","14:00:00","2018-03-23",96,0,12
"Ealing","14:00:00","2018-03-23",51,0,10
"Hillingdon","14:00:00","2018-03-23",95,0,9
"Lambeth","14:00:00","2018-03-23",29,0,5
"Croydon","15:00:00","2018-03-23",107,0,13
"Ealing","15:00:00","2018-03-23",105,0,15
"Hillingdon","15:00:00","2018-03-23",131,0,3
"Lambeth","15:00:00","2018-03-23",42,0,8
"Croydon","16:00:00","2018-03-23",135,0,21
"Ealing","16:00:00","2018-03-23",145,0,32
"Hillingdon","16:00:00","2018-03-23",110,0,4
"Lambeth","16:00:00","2018-03-23",39,0,5
"Croydon","17:00:00","2018-03-23",122,0,19
"Ealing","17:00:00","2018-03-23",191,0,31
"Hillingdon","17:00:00","2018-03-23",92,0,13
"Lambeth","17:00:00","2018-03-23",35,0,4
"Croydon","18:00:00","2018-03-23",123,0,8
"Ealing","18:00:00","2018-03-23",176,0,14
"Hillingdon","18:00:00","2018-03-23",117,0,8
"Lambeth","18:00:00","2018-03-23",37,0,2
"Bromley","07:00:00","2018-04-16",75,7,9
"Croydon","07:00:00","2018-04-16",506,11,91
"Enfield","07:00:00","2018-04-16",5768,46,1994
